guinea, Baja, nuevos muertos, 06/03/2014, 0.000
Global, Total, nuevos infectados, 06/03/2014, 0
Global, Total, nuevos muertos, 06/03/2014, 34
guinea, Alta, nuevos infectados, 13/03/2014, 0.000
guinea, Alta, nuevos muertos, 13/03/2014, 0.000
guinea, Media, nuevos infectados, 13/03/2014, 0.000
guinea, Media, nuevos muertos, 13/03/2014, 0.000
guinea, Baja, nuevos infectados, 13/03/2014, 0.000
guinea, Baja, nuevos muertos, 13/03/2014, 0.000
Global, Total, nuevos infectados, 13/03/2014, 0
Global, Total, nuevos muertos, 13/03/2014, 34
guinea, Alta, nuevos infectados, 20/03/2014, 0.000
guinea, Alta, nuevos muertos, 20/03/2014, 0.000
guinea, Media, nuevos infectados, 20/03/2014, 0.000
guinea, Media, nuevos muertos, 20/03/2014, 0.000
guinea, Baja, nuevos infectados, 20/03/2014, 0.000
guinea, Baja, nuevos muertos, 20/03/2014, 0.000
Global, Total, nuevos infectados, 20/03/2014, 0
Global, Total, nuevos muertos, 20/03/2014, 34
guinea, Alta, nuevos infectados, 27/03/2014, 0.000
guinea, Alta, nuevos muertos, 27/03/2014, 0.000
guinea, Media, nuevos infectados, 27/03/2014, 0.000
guinea, Media, nuevos muertos, 27/03/2014, 0.000
guinea, Baja, nuevos infectados, 27/03/2014, 0.000
guinea, Baja, nuevos muertos, 27/03/2014, 0.000
Global, Total, nuevos infectados, 27/03/2014, 0
Global, Total, nuevos muertos, 27/03/2014, 34
guinea, Alta, nuevos infectados, 03/04/2014, 0.000
guinea, Alta, nuevos muertos, 03/04/2014, 0.000
guinea, Media, nuevos infectados, 03/04/2014, 0.000
guinea, Media, nuevos muertos, 03/04/2014, 0.000
guinea, Baja, nuevos infectados, 03/04/2014, 0.000
guinea, Baja, nuevos muertos, 03/04/2014, 0.000
Global, Total, nuevos infectados, 03/04/2014, 0
Global, Total, nuevos muertos, 03/04/2014, 34
